,Hindi,roman
3548,और सारे चोर भग गये।,aur saare chor bhag gaye.
3549,"कुल मिलाकर, पुर्तगाली समुद्री कुत्ते में सफेद रंग सबसे कम आम है, जबकि ठुड्डी (मिल्क चिन) और छाती पर सफ़ेद के साथ काला रंग सबसे आम रंग संयोजन है।","kool milakar, Purtgali samudri kutte men safed rang sabse kam aam hai, jabki thuddi (Milk Chin) aur chhati par safed ke sath kala rang sabse aam rang sanyojan hai."
3550,विधिक रूप से निरक्षर व्यक्ति अपने विधिक अधिकारों का प्रभावी ढंग से उपयोग नहीं कर पाता।,vidhik roop se nirkshar vyakti apne vidhik adhikaron ka prabhavi dhang se upyog nahin kar pataa.
3551,"इन आचार्यो में भवभूति, माघ, बाणभट्ट, कालिदास, मानतुंग, भास्करभट्ट, धनपाल, बौद्ध संत बन्स्वाल, समुन्द्र घोष आदि विश्व विख्यात है।","in achaaryon mein Bhavbhuti, Maagh, Banbhatt, Kalidas, Mantunga, Bhaskarbhatt, Dhanpal, Bauddh Sant Banswal, Samundra Ghosh aadi vishwa vikhyat hai."
3552,इसकी शक्ति दक्षिण में केंद्रित थी और यह पांडुरंग अंश के नाम से प्रख्यात था।,iski shakti dakshin mein kendrit thi aur yah Pandurang Ansh ke naam se prakhyat tha.
3553,"इस द्वीप पर नीले पैरों वाले बूबी पक्षी, अबाबील-पुच्छ गल और फ्रिगेट पक्षियों की एक बड़ी आबादी निवास करती है।","is dvip par nile pairo vale bubi pakshi, ababil-puccha gal aur friget pakshiyo ki ek bari aabadi nivas karti hai."
3554,गुवाहाटी एरनाकुलम एक्स्प्रेस 5624 भारतीय रेल द्वारा संचालित एक मेल एक्स्प्रेस ट्रेन है।,Guwahati Ernakulam Express 5624 Bharatiy Rail dwara sanchalit ek mail express train hai.
3555,कृष्ण की कहानी,Krishna ki kahani
3556,"औरैया हवेली-खड़गपुर, मुंगेर, बिहार स्थित एक गाँव है।","Auriya Haveli-Kharagpur, Munger, Bihar sthit ek gaon hain."
3558,शू और तेहनूत द्युलोक के स्वामी मूर्तरूप में और केब तथा नूत क्रमश: पृथ्वी और आकाश के रूप में व्यक्त हुए।,shu aur tehnut dyulok ke swami murtrup me aur keb tatha nut kramash: prithvi aur aakash ke rup me vyakt hue.
3559,कुछ पर जया बच्चन द्वारा दूरदर्शन धारावाहिक सात फेरे का निर्माण किया गया है तथा कुछ कहानियां गुलज़ार के दूरदर्शन धारावाहिक किरदार में तथा भावना धारावाहिक में शामिल की जा चुकी हैं।,kuchh par jaya bachchan dwara doordarshan dharavahik Saat Phere ka nirmaan kiya gaya hai tatha kuchh kahaaniyaan Gulzar ke doordarshan dharavahik kirdaar mein tatha bhavna dharavahik mein shaamil ki ja chuki hain.
3560,"1970 में, यह खेल उत्तरी अमेरिका में मिडवे खेलों द्वारा सामी के रूप में जारी किया गया था।","1970 me, yah khel uttri america me midway khelo dvara sami ke rup me jari kiya gaya tha."
3561,राधिका आप्टे,Radhika Aapte
3562,यह अभिलेख लाल किले के संग्रहालय में उपस्थित है।,yah abhilekh Lal Qile ke sangrahaalay mein upasthit hai.
3563,अपने उद्देश्य की पूर्ति के लिए एनआरएलसी महत्वपूर्ण संरक्षण के उपाय एवं सामग्री से सम्बन्धित शोध कार्य संचालित करता है।,apne uddeshya ki purti ke lie NRLC mahatvpurn sanrakshan ke upay evam samagri se sambandhita shodh karya sanchalit karta hai.
3564,इस महान अन्वेषक का 1 फरवरी 1895 में दिल का दौरा पड़ने से निधन हो गया।,is mahan anveshak ka 1 februaryi 1895 me dil ka daura padne se nidhan ho gaya.
3565,उर्जा के मूल स्तोत्र - डॉ॰ गणेश दत्त,urja ke mul stotra - dr ganesh dutt
3566,"हालांकि गिल्मर ने एल्बम को शुरू में इसे बैंड के सबसे अच्छे प्रदर्शन की ओर वापसी के रूप में देखा, राइट बाद असहमत होते हैं, यह स्वीकार करते हुए ""रोजर की आलोचनाएं निष्पक्ष हैं। यह एक बैंड एल्बम बिलकुल नहीं है।""","halanki gilmar ne album ko shuru me is band ke sabse acche pradarshan ki or vapsi ke rup me dekha, right baad asahmat hote hai, yah svikar karte hue ""roger ki alochnae nispaksh hai. yah ek band album bilkul nahi hai."""
3567,"स्टेम कोशिका उपचार एक प्रकार की हस्तक्षेप इलाज पद्धति है, जिसके तहत चोट अथवा विकार के उपचार हेतु क्षतिग्रस्त ऊतकों में नयी कोशिकायें प्रवेशित की जाती हैं।","Stem koshika upchar ek prakar ki hastakshep ilaj paddhati hai, jiske tahat chot athava vikar ke upchar hetu kshatigrast utakon men nayi koshikayen praveshit ki jati hain."
3568,पीर पंजाल पर्वतमाला,pir panjal parvatmala
3569,रूपेश कुमार,rupesh kumar
3570,यह अरेबियन संस्कृति को दर्शित करता हुआ अपने आप में एक मील का पत्थर है।,yah Arebiyan sanskruti ko darshit karta hua apne aap me ek mil ka pathar hai.
3571,रोगलक्षणिक निगरानी चिकित्सा जानकारी का विश्लेषण है जिसका उपयोग रोग का प्रकोप या पूर्वानुमान लगाने में किया जाता है।,Roglakshanik nigarani chikitsa jankari ka vishleshan hai jiska upayog rog ka prakop ya purvanuman lagane men kiya jata hai.
3572,इसकी तुलना अक्सर पास की विशनसर (झील) से की जाती है क्योंकि जहाँ कृशनसर का रंग कुछ हरा नज़र आता है वहाँ विशनसर का बहुत नीला है।,Iski tulana aksar paas ki Vishansar (jheel) se ki jati hai kyonki jahan krushansar ka rang kuch hara najar ata hai vahan vishansar ka bahut nilaa hai.
3573,"कंपनी की पहला न्यूयॉर्क मुख्यालय थोमस स्ट्रीट और जे स्ट्रीट (1857-58, जॉन वॉरेन रिच) के बीच 55-61 हडसन स्ट्रीट पर इतालवी संगमरमर पलाज़ो से बनाया गया था, जिसके निचले तल में व्यस्त माल डिपो था और जो हडसन नदी रेलरोड के किनारे पर था।","company ki pehla newyork mukhyalaya thomas street aur j street (1857-58, john warren rich) ke bich 55-61 hudson street par italavi sangamaramara palazo se banaya gaya tha, jiske nichle tal me vyasta maal depot tha aur jo hudson nadi railroad ke kinare par tha."
3574,जहाँ फॉस्फोरस के निराकरण की आवश्यकता नहीं होती वहाँ अम्लीय पद्धति व्यवहृत की जाती है।,jahan Fosforas ke nirakaran ki aavshyakta nahin hoti wahan amliy paddhati vyavhrat ki jati hai.
3575,एक व्यापारिक बंदरगाह के रूप में आबाद होने के बाद हाँग काँग 1842 में यूनाइटेड किंगडम का विशेष उपनिवेश बन गया।,ek vyaparik bandargah ke roop men aabad hone ke baad hong kong 1842 me United Kingdom ka vishesh upnivesh ban gaya.
3576,नक्षत्र,nakshatra
3577,"उत्तर कोरिया ने सीडब्ल्यूसी पर हस्ताक्षर नहीं किये है और आधिकारिक तौर पर अपने सीडब्ल्यू कार्यक्रम के अस्तित्व को स्वीकार नहीं किया है,","uttar korea ne CWC par hastakshar nahi kiye hai aur adhikarik taur par apne CW karyakram ke astitva ko svikar nahi kiya hai,"
3578,"दो आयाम हैं,","do aayaam hain,"
3579,"राष्ट्र की परतंत्रता और उससे मुक्ति के प्रश्न पर केन्द्रित इस अध्ययन मण्डली में नियमित रूप से शामिल होने वालो में भगत सिंह, सुखदेव आदि प्रमुख थे।","rashtra ki paritantrta aur usse mukti ke prashan par kendrit is adhyyan mandli mein niymit roop se shaamil hone walo mein bhagat singh, sukhdev aadi pramukh the."
3580,इस विस्फोट ने बहरी सरकार पर भले ही असर न किया हो परन्तु समूचे देश में अद्भुत जन-जागरण का काम अवश्य किया।,is visfota ne bahari sarkaar par bhale hi asar n kiya ho parantu samuche desh mein adbhut jan-jaagaran ka kam avshay kiya.
3581,सिंह ने लंदन में २०१२ ग्रीष्मकालीन पैरालम्पिक्स में एफ ४६ वर्गीकरण के तहत लंबी छलांग मुकाबले में भारत का प्रतिनिधित्व किया तथा भारतीय दल के कप्तान भी रहे।,sinh ne London mein 2012 grishmakaalin paralympics mein F 46 vargikaran ke tahat lambi chhalang mukable mein Bharart ka pratinidhitv kiya tatha bhaartiya dal ke kaptaan bhi rahe.
3582,बनता है।,banataa hai.
3583,केविन जेम्स की दि जूकीपर में स्टैलोन शेर की आवाज भी देंगे.,Kevin James ki The Junkeeper mein Stallone Lion ki awaaz bhi denge.
3584,"इसके अलावा अन्या कारण है, कसरत की कमी, धूम्रपान और कुपोषण।","iske alava anya kaaran hai, kasarat ki kami, dhumrapaan aur kuposana."
3585,"उनका जन्म लंडन, इंगलैंड में हुआ था।","unaka janma landana, ingalainda mem hu'a tha."
3586,इन्होंने प्रथम श्रेणी में हाईस्कूल पास किया और इन्हें लैंग पदक और सरकारी छात्रवृत्ति से सम्मानित किया गया।,Inhone pratham shreni men highschool paas kiya aur inhe laing padak aur sarakari chhtravrutti se sammanit kiya gaya.
3587,आसमान कितना नीला - श्री गोविन्द्र मिश्र,Aasmaan kitna Neela - Shri Govind Mishr
3588,भ्रमरगीत परिचय,Bhramargeet Parichay
3589,अजीत,Ajit
3590,"ये मांग बाहरी कुर्मियों की थी, ना कि छोटानागपुर के टोटेमिक कुड़मी जनजातियों की, ये ध्यान देने वाली बात है।","ye mang bahari kurmiyon ki thi, na ki Chhotanagpur ke Totemic kudmi janjatiyon ki, ye dhyan dene wali baat hai."
3591,वे उपन्यासकार डोरोथी एल।,ve upanyasakar dorothi el.
3593,बैंकॉक से करीब ७०० किलोमीटर दूर चियांग माई थाईलैंड का दूसरा सबसे बड़ा शहर है।,Bankko se karib 700 kilometer door Chiyang Maai Thailnan ka doosra sabse bada shahar hai.
3594,"२० साल की आयु में, गैडट ने एक भर्ती सैनिक के रूप में इज़रायली सुरक्षा बल मेंं कॉम्बैट ट्रेनर रहते हुए दो वर्षों तक अपनी सेवाएं प्रदान की।","20 sal ki ayu me, gaidat ne ek bharti sainik ke rup me isrile suraksha bal me combat trainer rehte hue do varsho tak apni sevae pradan ki."
3595,"चंगम, तमिलनाडु के तिरुअंनामलाई जिले में चेय्यार नदी के तट पर स्थित कस्बा है, जो तमिलनाडु के प्राकृतिक विभागवाले उच्च प्रदेश के दक्षिणी पठार का ही एक भाग है।","Chengam, Tamilnadu ke Tiruvanamalai jile mein Cheyyar nadi ke tat par sthit kasbaa hai, jo Tamilnadu ke prakrutik vibhagvaale uchch pradesh ke dakshini pathar ka hi ek bhaag hai."
3596,यदि द्रव्यमान m की किसी वस्तु का ताप (T1) से (T2) तक बढ़ाने के लिए आवश्यक उष्मा की मात्रा मा (Q) हो तो पूर्वोक्त परिभाषा के अनुसार विशिष्ट उष्मा वि (S) निम्नलिखित सूत्र में प्राप्त होगी:,yadi dravyaman m ki kisi vastu ka taap (T1) se (T2) tak badhane ke lie avashyak ushma ki matra ma (Q) ho to purvokt paribhasha ke anusar vishisht ushma V (S) nimnalikhit sutra me prapt hogi:
3597,"स्पैरो अपनी आँखों में काजल लगाता है जो खानाबदोशों के बारे में डेप के अध्ययन से प्रभावित है, जिसकी तुलना उसने समुद्री डाकुओं से की थी, साथ ही डेप कॉन्टेक्ट लेंस भी पहनता है जो सनग्लास की तरह काम करता है।","Sparrow apni aankhon mein kajal lagaata hai jo khanabadoshon ke bare mein Depp ke adhyayan se prabhavit hai, jiski tulna usne samudri daakuon se ki thi, sath hi Depp kontakt lens bhi pahanta hai jo sanglaas ki tarah kaam karta hai."
3598,अन्य अभिवृत्तिपरीक्षणों के संबंध में यही कहा जा सकता है कि विशिष्ट योग्यतामापक उदाहरणों की कमी नहीं है।,anya abhivruttiparikshanon ke sambandh mein yahi kaha ja sakta hai ki vishisht yogytamapak udaharanon ki kami nahin hai.
3599,अच्छी किस्म के गाँजे में से १५ से २५ प्रतिशत तक रेज़िन और अधिक से अधिक १५ प्रतिशत राख निकलती है।,acchi kism ke gaane men se 15 se 25 pratishat tak rezin aur adhit se adhik 15 pratishat raakh niklati hai.
3600,अपार्टमेंट ३ में घुसपैठियों ने छह पहलवानों और भारोत्तोलकों को बन्दी बनाया।,Apartment 3 men ghuspethiyon ne chhah pahilvanon aur Bharottolakom ko bandi banaya.
3601,"यह यूफॉरबिएसिई कुल का छोटा झाड़ीदार वृक्ष है, जिसका बीज सुखाकर तेल निकालने के लिये पैदा किया जाता है।","Yah EufraBiCi kul ka chhota jhadidar vruksha hai, jiska beej sukhakar tel nikalne ke liye paida kiya jata hai."
3602,"उदाहरण : सोडियम सायनाइड, पोटैशियम सायनाइड, मेथिल सायनाइड, आदि।","udaharan : sodium cynide, potassium cynide, methil cynide, aadi."
3603,हमारी हिंदी भाषा में संधि के द्वारा पुरे शब्दों को लिखने की परम्परा नहीं है।,Hamari Hindi Bhasha men sandhi ke dwara pure shabdon ko likhne ki parampara nahi hai.
3604,"संगीत न केवल सामान्य और आकर्षक है, जहां बनावट के लिए ज्यादातर सिंथेसाइज़र इस्तेमाल किया गया है और टिप्पणियों के लिए गिटार ब्रेक्स, लेकिन यह वास्तव में संगीत रचना की गरिमा तक पहुंचता है (और परस्पर-संदर्भित करते हुए) द डार्क साइड ऑफ़ द मून स्थूल रूप में नक़ल की.","sangeet na keval samanya aur akarshak hai, jaha banavat ke li'e jyadatar synthsizer istemal kiya gaya hai aur tippaniyo ke li'e gitar brakes, lekin yah vastav me sangeet rachna ki garima tak pahunchta hai (aur paraspar-sandarbhit karte hue) the dark side of the moon sthul rup me naqal ki."
3605,वशिष्ठ जी बोले कि हे नंदिनी!,Vashisht ji bole ki he Nandini!
3606,"चिरौंजी का उपयोग अधिकतर मिठाई में जैसे हलवा, लड्डू, खीर, पाक आदि में सूखे मेवों के रूप में किया जाता है।","chiraunji ka upayog adhiktar mithai me jaise halva, laddu, khira, paak adi me sukhe mevo ke rup me kiya jata hai."
3607,"हल्द्वानी के लिए निकटतम हवाई अड्डा पंतनगर में स्थित है, जो हल्द्वानी नगर से २८ किमी (१७ मील) उत्तर में स्थित है।","haldvani ke liye nikat'tam havai adda pantnagar me sthit hai, jo haldvani nagar se 28 km (17 mil) uttar me sthit hai."
3608,डिस्नी कार्टून,Disney cartoon
3609,इन देवताओं में अतिमानवीय धरातल पर मानवीय प्रकृति के दुर्गुणों तथा सत्गुणों की योजना की गई।,in devtaon men atimanviy dharatal par manviy prakriti ke durgunon tatha satgunon ki yojna ki gai.
3610,इससे पता चलता है कि वास्तव में सुनीता की रचना और उसका प्रकाशन 1928 की जनवरी-फरवरी में हुआ होगा।,isse pata chalta hai ki vastav men Sunita ki rachna aur uska prakashan 1928 ki Janvari-Farvari main hua hoga.
3611,अपना ज्यादातर वक्त वह दल के साथ किस्से और चुटकुले सुनाने में बिताते और साथ ही अपने एस्ट्राॅनाॅट साथियों की सुरक्षा के लिए हरसंभव कोशिश करते।,apna jyadatar waqt veh dal ke sath kisse aur chutkule sunane me bitate aur sath hi apne astranaut sathiyo ki suraksha ke lie harsambhav kosish karte.
3612,प्रतिषेध,Pratishedh
3613,कैसे पहुंचें,Kaise pahunche
3614,माँ ने इस उद्देश्य से कि पट्ठा जल्दी जवान हो जाये उसे सौ बादाम की गिरियों को खाँड और मक्खन में कूटकर खिलाना व ऊपर से भैंस का दूध पिलाना शुरू कर दिया।,Maa ne is uddesshy se ki Pattha jaldi Jawaan ho jaye use sau Badam ki giriyon ko Khand aur Makaan men katkar khilana v upar se Bhains ka Dudh pilana shuru kar diya.
3615,विश्व में बोली जाने वाली सभी भाषाओं और बोलियों में जीवंतता मिलती है।,vishv me boli jane wali sabhi bhashao aur boliyo me jivantata milti hai.
3616,द कर्स ऑफ द ब्लैक पर्ल की शूटिंग के बाद डेप उन्हें निकालना भूल गए थे और अगली कड़ियों की पूरी शूटिंग में उन्हें लगाए रखने का फैसला किया था।,The Curse Of The Bleck Purl ki shooting ke baad Dep unhen nikalna bhool gaye the aur agli kadiyon ki puri shooting men unhen lagaye rakhane ka faisla kiya tha.
3617,औद्योगिक क्रांति ने पाश्चात्य देशों में परंपरागत संयुक्त परिवार भंग कर दिया है जिसका कारण बढ़ते हुए यंत्रीकरण के फलस्वरूप व्यक्ति को परिवार से बाहर मिली आजीविका सुरक्षा और उन्नति की सुविधाओं को बताया जाता है।,audyogik kranti ne paschatya desho me paramparagata sanyukta parivar bhang kar diya hai jiska karan badhte hue yantrikaran ke falasvarup vyakti ko parivar se bahar mili aajivika suraksha aur unnati ki suvidhao ko bataya jata hai.
3618,"उत्पादन कठिनाई भरा था, जहां बैंड की ओर से कुछ रचनात्मक योगदान नहीं था, लेकिन जॉन एल्डिस की सहायता से आखिरकार एल्बम को पूरा कर लिया गया।","utpadan kathinai bhara tha, jaha band ki aur se kuch rachnatmak yogdan nahi tha, lekin john aldis ki sahayata se akhirkar album ko pura kar liya gaya."
3619,ब्रह्मा ने देवताओं का दु:ख मिटाने के लिए विश्वकर्मा को एक अनुपम सुंदरी के निर्माण की आज्ञा दी।,Brahma ne devtaon ka du:kh mitane ke liye Vishwkarma ko ek anupam sunari ke nirman ki aadhnya di.
3620,पैतृक प्रभाव और साथियों के दबाव से बच्चो के मानसिक विकास पर असर डालता है।,paitruk prabhav aur sathiyom ke dabav se bachho ke manasik vikas par asar dalta hai.
3621,अनुवांशिक संक्रमण तथा स्वास्थ्था- बहुत सारी बिमारियँ बहुत सारे तथ्यो पर निर्भर करती है।,anuvansika sankramana tatha svasththa- bahuta sari bimariyam bahuta sare tathyo para nirbhara karati hai.
3622,इस उद्देश्य से संस्थान अपने प्रबंधन के तहत प्रत्येक कोष (और आम तौर पर आतंरिक उद्देश्य से प्रत्येक कोष के घटक) के प्रदर्शन की माप करते हैं और प्रदर्शन की माप प्रदर्शन मापन में विशेषज्ञता प्राप्त बाहरी कंपनियों द्वारा भी की जाती है।,is uddeshy se sansthan apne prabandhan ke tahat pratyek kosh (aur aam taur par aantarik uddyesh se pratyek kosh ke ghatak) ke pradarshan kii maap karte hain aur pradarshan kee maap pradrshan maapan men visheshagyata prapt baahari companiyon dwara bhi kii jati hai.
3623,साधारणत: एक विवाह की मान्यता है।,sadharanata: ek vivah ki manyata hai.
3624,डॉलर के सन्दर्भ में हुई वृद्धि का आंशिक कारण 2009 में कई मुद्राओं के खिलाफ अमेरिकी डॉलर के मूल्य में होने वाली कमी थी।,dollar ke sandarbh me hui vriddhi ka aanshik karan 2009 me kai mudrao ke khilaf americi dollar ke mulya me hone vali kami thi.
3625,1967 उत्तर प्रदेश विधान सभा चुनाव में इन्होंने उत्तर प्रदेश के बाराबंकी जिले के 145 - नवाबगंज विधान सभा निर्वाचन क्षेत्र से संयुक्‍त सोशलिस्‍ट पार्टी की ओर से चुनाव में भाग लिया।,1967 utatr pradesh vidhaan sabha chunaav mein inhonne uttar pradesh ke Barabanki jile ke 145 - Nawabganj vidhaan sabha nirvaachan kshetra se sanyuk‍t socialist party ki or se chunaav mein bhaga liya.
3626,महाभियोग वो प्रक्रिया है जिसका इस्तेमाल राष्ट्रपति और सुप्रीम कोर्ट या हाई कोर्ट के जजों को हटाने के लिए किया जाता है.,mahabhiyog vo prakriya hai jiska istemal rashtrapati aur supreme court ya high court ke judgo ko hatane ke li'e kiya jata hai.
3627,"बेलेम, अटलांटिक महासागर में नदी के मुहाने पर प्रमुख शहर और बंदरगाह है।","belema, atalantika mahasagara mem nadi ke muhane para pramukha sahara aura bandaragaha hai."
3628,पश्चिम नुसा तेंगारा दक्षिणपूर्व एशिया के इण्डोनेशिया देश का एक प्रान्त है।,paschim nusa tengara dakshinpurv asia ke indonesia desh ka ek prant hai.
3629,"1947 को एक महत्वपूर्ण संकल्प पर एक राष्ट्रीय शिक्षा शिखर सम्मेलन में कराची में एक राष्ट्रीय शिक्षा शिखर सम्मेलन हुआ था, जिसमें एक महत्वपूर्ण संकल्प लिया गया।","1947 ko ek mahattwapurn sankalp par ek rashtriy shiksha shikhar sammelan men Karachi men ek rashtriy shiksha shikhar sammelan hua tha, jismen ek mahattwapurn sankalp liya gaya."
3630,इसके बाद सन् १९५५ तक लगभग बीस वर्ष तक उन्होंने ग्रँट मेडिकल कॉलेज में प्राध्यापक के पद पर काम करते हुए विद्यादान का कार्य किया।,iske baad san 1955 tak lagbhag bis varsh tak unhone grant medical college me pradhyapak ke pad par kaam karte hue vidyadan ka karya kiya.
3631,इस कानून द्वारा अपद्रव्यीकरण तथा झूठे नाम से खाद्यों का बेचना दंडनीय है।,isa kanuna dvara apadravyikarana tatha jhuthe nama se khadyom ka becana dandaniya hai.
3632,आधुनिक हिंदी काव्यों में पाश्चात्य चिंतन - डॉ॰ राम किसन सैनी,adhunik hindi kavyon mein pashchatya chintan - Dr. Ram kisan Saini
3633,है यह नगर खरगोन से 50 की।,hai yah nagar Khargone se 50 ki.
3634,असम के राज्यपालों की सूची,assam ke rajyapalo ki suchi
3635,विद्युतरासायनिक श्रेणी द्वारा विभवान्तर की गणना कर सकते हैं-,vidyutarasayanik shreni dvara vibhavantar ki ganna kar sakte hai-
3636,"लिलिपुट में रहने के लिए गुलिवर को जो इमारत दी गयी, वह बहुत महत्वपूर्ण है, क्योंकि इस खंड में वे इसका वर्णन एक मंदिर के रूप में करते हैं, जिसमें कुछ साल पहले एक हत्या हुई थी और इसलिए इस इमारत को छोड़ दिया गया था।","liliputa mem rahane ke li'e gulivara ko jo imarata di gayi, vaha bahuta mahatvapurna hai, kyonki isa khanda mem ve isaka varnana eka mandira ke rupa mem karate haim, jisamem kucha sala pahale eka hatya hu'i thi aura isali'e isa imarata ko chora diya gaya tha."
3637,यह दिल्ली विश्वविद्यालय के प्रमुख महाविद्यालयों में से एक है।,yeh dilli vishvvidyalaya ke pramukha mahavidyalayo me se ek hai.
3639,"किले में पहुंचने पर ज़ॉड घोषणा करता है कि उसे अब लूदर की कोई ज़रुरत नहीं है, और सुपरमैन के साथ साथ वह उसे भी मार देगा।","kile me pahuchne par zod ghoshna karta hai ki use ab ludar ki koi zarurat nahi hai, aur superman ke sath sath veh use bhi mar dega."
3640,"बाद में इसका अनुवाद अंग्रेजी, हिंदी, बंगाली, डच, तुर्की, सिंधी, गुजराती और पश्तो में किया गया है।","baad me iska anuvad angreji, hindi, bangali, dutch, turki, sindhi, gujrati aur pashto me kiya gaya hai."
3641,"ब्लू के लिए एक टेलीविजन मीडिया अभियान १९७९ में चलाया गया, जिसका थीम गीत ""कार्स"" यूके का सिंथपॉप हिट था, जिसे गैरी न्यूमैन ने बनाया था।","Blue ke liye ek television media abhiyan 1971 men chalaya gaya, jiska theme geet ""Cars"" UK ka Sithpop hit tha, Jise Gary Newman ne banaya tha."
3642,यूनानी पौराणिक कथाओं में इकसिंगों का उल्लेख नहीं मिलता है लेकिन प्राकृतिक इतिहास में विवरणों में इसका उल्लेख है क्योंकि प्रतिकृत इतिहास के यूनानी लेखक इकसिंगे की वास्तविकता के कायल थे जिसका पता उन्हें भारत में मिला था जो उनके लिए एक दूरवर्ती एवं उत्कृष्ट क्षेत्र था।,Unani pauranik kathaaon mein iksingon ka ullekh nahin milta hai lekin prakritik itihaas mein vivarnon mein iskaa ullekh hai kyonki pratikrit itihaas ke unani lekhak iksinge ki vastvikataa ke kaayal the jiska pata unhen bharat mein mila tha jo unke liye ek durvarti evam utkrist kshetra tha.
3643,"कुछ समय पश्चात्‌ भट्ठी में दहन योग्य गैस तथा वायु इन तप्त रोधकों के द्वारा भेजी जाती हैं, जिससे ये (गैस तथा वायु) रोधकों से ऊष्मा प्राप्त करती हैं और तब दहन-उत्पाद दूसरी ओर के पुनर्जनित्रों से होकर गुजरता है।","kuch samay pashchaat bhatthi mein dahan yogya gais tatha vaayu in tapt rodhakon ke dvara bheji jaati hain, jisse ye (gais tatha vaayu) rodhakon se ooshmaa praapt karti hain aur tab dahan-utpaad dusri aur ke punarjanitron se hokar gujarta hai."
3644,"वैसे प्राकृत काव्य तथा सुभाषित को ""वैदर्भी शैली"" का नाम दिया गया है।","vaise prakrit kavya tatha subhashit ko ""vaidarbhi shaili"" ka nam diya gaya hai."
3645,करनपाल ने हेमकरन को अपने सामने ही गद्दी पर बैठाया था।,Karanpal ne Hemkaran ko apne samne hi gaddi par baithaya tha.
3646,पुस्तकें तथा अनुदान देकर उनकी अल्प मात्रा में सहायता भी की जाती है।,pustake tatha anudan dekar unki alp matra me sahayata bhi ki jati hai.
3647,इन्होने अपने करियर की शुरुआत १९८० में की थी।,inhone apne career ki shuruaat 1980 mein ki thi.
3648,गणित में दीर्घवृत्त एक ऐसा शांकव होता है जिसकी उत्केन्द्रता इकाई से कम होती है।,Ganit mein dirghvrutt ek aisa shaankav hota hai jiski utkendrata ikai se kam hoti hai.
3649,ठीक 8 बजकर 4 मिनट पर दोनों वायु सेना अधिकारी दुश्मन का सामना करने के लिए आसमान में थे।,thik 8 bajkar 4 minut par donon vayu sena adhikaari dushman ka saamnaa karne ke liye aasmaan mein the.
3650,"अधिनियम में उन वस्‍तुओं के उत्‍पादन वितरण और मूल्‍य निर्धारण को विनियमित एवं नियंत्रित करने की व्‍यवस्‍था की गई है, जिनकी आपूर्ति बनाए रखने या बढ़ाने तथा उनका समान वितरण प्राप्‍त करने और उचित मूल्‍य पर उनकी उपलब्‍धता के लिए अनिवार्य घोषित किया गया है।","adhiniyama mem una vastu'om ke utpadana vitarana aura mulya nirdharana ko viniyamita evam niyantrita karane ki vyavastha ki ga'i hai, jinaki apurti bana'e rakhane ya barhane tatha unaka samana vitarana prapta karane aura ucita mulya para unaki upalabdhata ke li'e anivarya ghosita kiya gaya hai."
3651,खानवा के युद्ध को जीतने के बाद बाबर ने ‘ग़ाजी’ की उपाधि धरण की।,khanva ke yuddh ko jitne ke bad babar ne 'gaji' ki upadhi dharan ki.
3652,यह विविध उत्पादों/व्यापारों का एक समूह है।,yeh vividh utpadon/vyaparon ka ek samuh hai.
3653,बतख की चाल,Batakh ki chaal
3654,"अभिनेत्री कोबी स्मल्डर्स टीवी धारावाहिक एजेंट्स ऑफ़ शील्ड में, तथा मार्वल सिनेमेटिक यूनिवर्स की फिल्मों में मारिया हिल की भूमिका निभा रही हैं।","abhinetri cobi smaldars tv dharavahik agents of shield me, tatha marvel cinematic universe ki filmo me maria hil ki bhumika nibha rahi hai."
3655,"2012 में, रेंजरों फुटबॉल क्लब पीएलसी एक समझौते पर अपने लेनदारों के साथ पहुँच नहीं किया जा सकता है जब परिसमापन में जिसके परिणामस्वरूप, दिवालिया हो गया।","2012 me, renjaro football club PLC ek samajhaute par apne lendaro ke sath pahunch nahi kiya ja sakta hai jab parismapan me jiske parinamasvarup, divaliya ho gaya."
3656,"हमारा बोध, अधिक मात्रा में, हमपर थोपा जाता है; आँख खोलने पर मैं निश्चय नहीं करता कि मुझे क्या दिखाई देगा।","hamara bodh, adhik matra mein, hampar thopa jata hai; aankh kholane par main nishchay nahin kartaa ki mujhe kya dikhaai degaa."
3657,"यह स्थान ऑस्ट्रेलिया की राजधानी, पर्थ से ४२०० किलोमीटर दक्षिण-पश्चिम में स्थित है।","Yah sthan Australia ki rajdhani, Perth se 4200 kilometer dakshin-pashchim men sthit hai."
3658,यहां अनेक देवी-देवताओं की मूर्तियां भी देखी जा सकती है।,Yahan unke devi-devtaon ki murtiyan bhi dekhi jaa sakti hai.
3659,इनकी उद्यमशीलता वैश्यों सरीखी ही है।,inki udyamsheelta vaishon sarikhi hi hai.
3660,आशालता,Ashalata
3661,यहाँ से वे पूर्व और पश्चिम दोनों ओर फैले।,yaha se ve purv aur paschim dono aur faile.
3662,कहा जाता है कि महान मराठा शासक शिवाजी ने इस मंदिर की पूजा के लिए कई तरह की सुविधाएं प्रदान की।,kaha jata hai ki mahan maratha shasak Shivaji ne is mandir ki puja ke liye kai tarah ki suvidhayein pradaan ki.
3663,वे भारतीय जनता पार्टी से संबद्ध हैं।,ve bharatiya janta party se sambaddh hai.
